"","longitude","latitude","datetime"
"378",-71.114795,42.324484,2022-01-01 14:50:29
"379",-71.114828,42.324451,2022-01-01 14:50:31
"380",-71.114863,42.324412,2022-01-01 14:50:32
"381",-71.114891,42.324375,2022-01-01 14:50:34
"382",-71.114911,42.324345,2022-01-01 14:50:35
"383",-71.114929,42.324314,2022-01-01 14:50:36
"384",-71.114953,42.324269,2022-01-01 14:50:37
"385",-71.11497,42.324236,2022-01-01 14:50:38
"386",-71.114987,42.324201,2022-01-01 14:50:40
"387",-71.115002,42.324166,2022-01-01 14:50:41
"388",-71.115022,42.324119,2022-01-01 14:50:42
"389",-71.115037,42.324078,2022-01-01 14:50:44
"390",-71.115047,42.324047,2022-01-01 14:50:45
"391",-71.115057,42.32402,2022-01-01 14:50:46
"392",-71.115068,42.323983,2022-01-01 14:50:48
"393",-71.115076,42.323955,2022-01-01 14:50:49
"394",-71.115087,42.323917,2022-01-01 14:50:50
"395",-71.115092,42.323902,2022-01-01 14:50:51
"396",-71.115103,42.323874,2022-01-01 14:50:52
"397",-71.115116,42.323845,2022-01-01 14:50:53
"398",-71.115134,42.323811,2022-01-01 14:50:55
"399",-71.115161,42.323761,2022-01-01 14:50:57
"400",-71.115191,42.32372,2022-01-01 14:50:58
"401",-71.115208,42.323697,2022-01-01 14:50:59
"402",-71.115225,42.32367,2022-01-01 14:51:00
"403",-71.115265,42.323629,2022-01-01 14:51:02
"404",-71.115281,42.323614,2022-01-01 14:51:03
"405",-71.115297,42.323599,2022-01-01 14:51:04
"406",-71.115329,42.323573,2022-01-01 14:51:06
"407",-71.11535,42.323553,2022-01-01 14:51:07
"408",-71.11539,42.32352,2022-01-01 14:51:09
"409",-71.115432,42.323495,2022-01-01 14:51:10
"410",-71.115446,42.323486,2022-01-01 14:51:11
"411",-71.115482,42.323461,2022-01-01 14:51:12
"412",-71.115495,42.323453,2022-01-01 14:51:13
"413",-71.115524,42.323435,2022-01-01 14:51:14
"414",-71.115581,42.323405,2022-01-01 14:51:16
"415",-71.115602,42.323393,2022-01-01 14:51:17
"416",-71.115623,42.323382,2022-01-01 14:51:18
"417",-71.11566,42.323365,2022-01-01 14:51:20
"418",-71.115706,42.323345,2022-01-01 14:51:21
"419",-71.115764,42.323319,2022-01-01 14:51:23
"420",-71.115785,42.32331,2022-01-01 14:51:24
"421",-71.115805,42.323302,2022-01-01 14:51:25
"422",-71.115834,42.323289,2022-01-01 14:51:26
"423",-71.115877,42.323269,2022-01-01 14:51:28
"424",-71.115917,42.323258,2022-01-01 14:51:29
"425",-71.115968,42.32324,2022-01-01 14:51:30
"426",-71.116013,42.323226,2022-01-01 14:51:32
"427",-71.116055,42.323211,2022-01-01 14:51:34
"428",-71.11609,42.3232,2022-01-01 14:51:35
"429",-71.116133,42.323181,2022-01-01 14:51:36
"430",-71.116147,42.323175,2022-01-01 14:51:37
"431",-71.116203,42.323158,2022-01-01 14:51:39
"432",-71.116247,42.323148,2022-01-01 14:51:40
"433",-71.11629,42.323135,2022-01-01 14:51:42
"434",-71.116334,42.323118,2022-01-01 14:51:43
"435",-71.116364,42.323106,2022-01-01 14:51:44
"436",-71.116394,42.323092,2022-01-01 14:51:46
"437",-71.116433,42.323074,2022-01-01 14:51:47
"438",-71.116476,42.323056,2022-01-01 14:51:49
"439",-71.116521,42.32304,2022-01-01 14:51:50
"440",-71.116535,42.323035,2022-01-01 14:51:51
"441",-71.116577,42.323015,2022-01-01 14:51:52
"442",-71.116607,42.323002,2022-01-01 14:51:53
"443",-71.116637,42.322987,2022-01-01 14:51:55
"444",-71.116664,42.322971,2022-01-01 14:51:56
"445",-71.116712,42.322943,2022-01-01 14:51:58
"446",-71.116737,42.322924,2022-01-01 14:51:59
"447",-71.116778,42.322893,2022-01-01 14:52:01
"448",-71.116799,42.322877,2022-01-01 14:52:02
"449",-71.116825,42.322843,2022-01-01 14:52:04
"450",-71.116836,42.322831,2022-01-01 14:52:05
"451",-71.116846,42.322814,2022-01-01 14:52:07
"452",-71.116847,42.322811,2022-01-01 14:52:08
"453",-71.116831,42.322822,2022-01-01 14:52:09
"454",-71.116818,42.322829,2022-01-01 14:52:11
"455",-71.116814,42.322835,2022-01-01 14:52:13
"456",-71.116811,42.32284,2022-01-01 14:52:14
"457",-71.116812,42.322838,2022-01-01 14:52:16
"458",-71.116812,42.322838,2022-01-01 14:52:17
"459",-71.116812,42.322835,2022-01-01 14:52:19
"460",-71.116812,42.322833,2022-01-01 14:52:20
"461",-71.116808,42.322829,2022-01-01 14:52:22
"462",-71.116806,42.322827,2022-01-01 14:52:23
"463",-71.116808,42.322825,2022-01-01 14:52:25
"464",-71.116813,42.322824,2022-01-01 14:52:27
"465",-71.116809,42.32283,2022-01-01 14:52:28
"466",-71.116808,42.322832,2022-01-01 14:52:29
"467",-71.116807,42.322833,2022-01-01 14:52:31
"468",-71.116807,42.322833,2022-01-01 14:52:32
"469",-71.116807,42.322833,2022-01-01 14:52:33
"470",-71.116812,42.322829,2022-01-01 14:52:34
"471",-71.116825,42.322818,2022-01-01 14:52:35
"472",-71.116836,42.322803,2022-01-01 14:52:37
"473",-71.116847,42.32279,2022-01-01 14:52:38
"474",-71.116856,42.322776,2022-01-01 14:52:39
"475",-71.116874,42.322748,2022-01-01 14:52:41
"476",-71.116885,42.322726,2022-01-01 14:52:43
"477",-71.11688,42.322723,2022-01-01 14:52:44
"478",-71.116876,42.322726,2022-01-01 14:52:46
"479",-71.116873,42.322733,2022-01-01 14:52:48
"480",-71.116873,42.322734,2022-01-01 14:52:49
"481",-71.11687,42.322733,2022-01-01 14:52:51
"482",-71.116868,42.322729,2022-01-01 14:52:52
"483",-71.116871,42.322722,2022-01-01 14:52:54
"484",-71.116875,42.322714,2022-01-01 14:52:55
"485",-71.116889,42.322692,2022-01-01 14:52:56
"486",-71.116901,42.322665,2022-01-01 14:52:58
"487",-71.116911,42.322626,2022-01-01 14:52:59
"488",-71.116915,42.322608,2022-01-01 14:53:00
"489",-71.116916,42.322584,2022-01-01 14:53:01
"490",-71.11692,42.322553,2022-01-01 14:53:03
"491",-71.116927,42.322512,2022-01-01 14:53:04
"492",-71.116935,42.322476,2022-01-01 14:53:06
"493",-71.116942,42.322424,2022-01-01 14:53:07
"494",-71.116949,42.322388,2022-01-01 14:53:09
"495",-71.116953,42.322332,2022-01-01 14:53:10
"496",-71.116959,42.32229,2022-01-01 14:53:12
"497",-71.116964,42.322259,2022-01-01 14:53:13
"498",-71.116971,42.322214,2022-01-01 14:53:14
"499",-71.116974,42.322167,2022-01-01 14:53:16
"500",-71.116976,42.322131,2022-01-01 14:53:17
"501",-71.116977,42.322101,2022-01-01 14:53:18
"502",-71.116978,42.322047,2022-01-01 14:53:19
"503",-71.116979,42.322004,2022-01-01 14:53:21
"504",-71.11698,42.321967,2022-01-01 14:53:22
"505",-71.116978,42.321927,2022-01-01 14:53:23
"506",-71.116975,42.321893,2022-01-01 14:53:24
"507",-71.116973,42.321865,2022-01-01 14:53:25
"508",-71.116967,42.321829,2022-01-01 14:53:27
"509",-71.116968,42.321789,2022-01-01 14:53:28
"510",-71.116963,42.321754,2022-01-01 14:53:30
"511",-71.116956,42.321721,2022-01-01 14:53:31
"512",-71.116951,42.321679,2022-01-01 14:53:33
"513",-71.116945,42.321639,2022-01-01 14:53:34
"514",-71.116937,42.321606,2022-01-01 14:53:36
"515",-71.11693,42.321567,2022-01-01 14:53:37
